D,P,stone_dens,cluster_area,n_ants,cluster_dens,distance,cumulative,timepoints,ID,colony
0.466666667,0.133333333,0.220217819,0.04828381,0.751016906,0.025644203,24.22804165,0.6,240,R05.2,R05
0.333333333,0.266666667,0.549288553,0.04828381,0.751016906,0.025644203,24.93911706,0.6,240,R05.3,R05
0,0,0.153415038,-0.484116877,0.182991844,0.0352419,41.4830524,0,255,R54.1,R54
0.533333333,0.133333333,0.685984384,-0.484116877,0.182991844,0.0352419,28.25193654,0.666666667,255,R54.2,R54
0.266666667,0.066666667,0.363812804,-0.484116877,0.182991844,0.0352419,22.62344914,0.333333333,255,R54.3,R54
0.066666667,0.066666667,0.278143931,-0.337112283,0.185212109,0.029945458,28.35961068,0.133333333,255,R34.1,R34
0.266666667,0,0.674403778,-0.337112283,0.185212109,0.029945458,24.38603783,0.266666667,255,R34.2,R34
0.333333333,0,0.213370687,-0.337112283,0.185212109,0.029945458,34.50776096,0.333333333,255,R34.3,R34
0.2,0,0.370330493,-0.782254784,1.374814138,0.027522947,36.29215663,0.2,255,R29.1,R29
1,0.533333333,0.267213492,-0.782254784,1.374814138,0.027522947,21.44575647,1.533333333,255,R29.2,R29
0,0,0.015758744,-0.782254784,1.374814138,0.027522947,41.423488,0,255,R29.3,R29
0.2,0.2,0.508678043,0.219613825,0.939644408,0.025805678,20.53966533,0.4,255,R05.1,R05
0.066666667,0.066666667,0.229847116,0.219613825,0.939644408,0.025805678,24.40940226,0.133333333,255,R05.2,R05
0.133333333,0.066666667,0.545101902,0.219613825,0.939644408,0.025805678,24.80749829,0.2,255,R05.3,R05
0.733333333,0.666666667,0.166286594,-0.352759501,0.748989872,0.036073742,41.66480204,1.4,270,R54.1,R54
0.333333333,0,0.7305478,-0.352759501,0.748989872,0.036073742,27.98734229,0.333333333,270,R54.2,R54
0.4,0.133333333,0.390843073,-0.352759501,0.748989872,0.036073742,22.51391656,0.533333333,270,R54.3,R54
0.333333333,0.266666667,0.278567286,0.406602789,0.113773153,0.029013212,28.22521215,0.6,270,R34.1,R34
0.133333333,0.066666667,0.701075114,0.406602789,0.113773153,0.029013212,24.249633,0.2,270,R34.2,R34
0.066666667,0,0.236231832,0.406602789,0.113773153,0.029013212,34.65540929,0.066666667,270,R34.3,R34
0.133333333,0.066666667,0.38346278,-0.297284962,0.929530207,0.026354781,36.39485418,0.2,270,R29.1,R29
0.133333333,0.066666667,0.309921972,-0.297284962,0.929530207,0.026354781,21.78949004,0.2,270,R29.2,R29
0,0,0.015758744,-0.297284962,0.929530207,0.026354781,42.05509972,0,270,R29.3,R29
0.133333333,0.133333333,0.508678043,0.015043772,0.279448151,0.024589084,19.9407897,0.266666667,270,R05.1,R05
0.4,0.266666667,0.236629489,0.015043772,0.279448151,0.024589084,23.92944434,0.666666667,270,R05.2,R05
0.2,0,0.565197825,0.015043772,0.279448151,0.024589084,25.5097968,0.2,270,R05.3,R05
0.533333333,0.066666667,0.177766631,-0.489989934,0.748989872,0.036257799,41.89762985,0.6,285,R54.1,R54
0.266666667,0,0.763422451,-0.489989934,0.748989872,0.036257799,27.75030914,0.266666667,285,R54.2,R54
0.133333333,0,0.405454029,-0.489989934,0.748989872,0.036257799,22.33601336,0.133333333,285,R54.3,R54
0.466666667,0.333333333,0.284494249,0.172558532,0.113773153,0.029259279,28.32027471,0.8,285,R34.1,R34
0.533333333,0.066666667,0.714622459,0.172558532,0.113773153,0.029259279,24.66467883,0.6,285,R34.2,R34
0.466666667,0.2,0.253758709,0.172558532,0.113773153,0.029259279,34.47178307,0.666666667,285,R34.3,R34
0.533333333,0.2,0.418323032,0.530719321,0.595567258,0.024824085,36.75225835,0.733333333,285,R29.1,R29
0.2,0.066666667,0.315174887,0.530719321,0.595567258,0.024824085,21.75454643,0.266666667,285,R29.2,R29
0.066666667,0.066666667,0.019698431,0.530719321,0.595567258,0.024824085,42.6396884,0.133333333,285,R29.3,R29
0.333333333,0.2,0.514330021,-0.272880396,0.090820649,0.024627265,19.61832168,0.533333333,285,R05.1,R05
0.266666667,0.133333333,0.263758985,-0.272880396,0.090820649,0.024627265,24.24958162,0.4,285,R05.2,R05
0.133333333,0.066666667,0.600365689,-0.272880396,0.090820649,0.024627265,25.25781085,0.2,285,R05.3,R05
0.466666667,0.466666667,0.224904358,-0.742875592,0.668133011,0.036454697,41.90644587,0.933333333,300,R54.1,R54
0.533333333,0.266666667,0.796905892,-0.742875592,0.668133011,0.036454697,27.37904229,0.8,300,R54.2,R54
0.133333333,0.066666667,0.413977087,-0.742875592,0.668133011,0.036454697,22.49488446,0.2,300,R54.3,R54
1.066666667,0.8,0.319239561,-0.605978368,0.256651065,0.030412671,28.34833762,1.866666667,300,R34.1,R34
0.333333333,0.133333333,0.755506411,-0.605978368,0.256651065,0.030412671,24.67934173,0.466666667,300,R34.2,R34
0.266666667,0.066666667,0.281954122,-0.605978368,0.256651065,0.030412671,34.44410022,0.333333333,300,R34.3,R34
0.133333333,0.066666667,0.425486098,0.181740458,1.486135121,0.026494058,36.70932268,0.2,300,R29.1,R29
0.2,0,0.330933632,0.181740458,1.486135121,0.026494058,21.49836306,0.2,300,R29.2,R29
0.2,0,0.031517489,0.181740458,1.486135121,0.026494058,42.24605924,0.2,300,R29.3,R29
0.333333333,0,0.541082718,0.485207921,0.845330657,0.025162192,19.81626651,0.333333333,300,R05.1,R05
0.066666667,0,0.271294956,0.485207921,0.845330657,0.025162192,24.39907629,0.066666667,300,R05.2,R05
0,0.133333333,0.614181636,0.485207921,0.845330657,0.025162192,25.0176782,0.133333333,300,R05.3,R05
0.2,0,0.233775296,0.108628326,1.476701623,0.036757027,41.62958861,0.2,315,R54.1,R54
0.466666667,0.133333333,0.835259651,0.108628326,1.476701623,0.036757027,27.26157937,0.6,315,R54.2,R54
0.133333333,0.133333333,0.421891355,0.108628326,1.476701623,0.036757027,22.87420324,0.266666667,315,R54.3,R54
0.533333333,0.066666667,0.346304012,-0.738860456,0.185212109,0.030373738,28.18163496,0.6,315,R34.1,R34
0.133333333,0.133333333,0.760133072,-0.738860456,0.185212109,0.030373738,24.74567681,0.266666667,315,R34.2,R34
0,0,0.289574504,-0.738860456,0.185212109,0.030373738,34.57773242,0,315,R34.3,R34
0.8,0.2,0.468559999,0.952262309,2.154061018,0.026635644,32.84291483,1,315,R29.1,R29
0.333333333,0.266666667,0.335311061,0.952262309,2.154061018,0.026635644,31.64237611,0.6,315,R29.2,R29
0,0,0.039396861,0.952262309,2.154061018,0.026635644,45.02025771,0,315,R29.3,R29
0.666666667,0.2,0.584907287,0.824817034,1.411213163,0.025919769,20.58061283,0.866666667,315,R05.1,R05
0.2,0.2,0.285110903,0.824817034,1.411213163,0.025919769,23.67587572,0.4,315,R05.2,R05
